NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
1484,AA-08-VSS-008VSS969-N-515-2024,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00099358,008VSS969 - UNIDAD OPERATIVA ORIZABA,VERACRUZ
1485,AA-11-B01-011B01001-N-143-2025,NACIONAL,PRODUCTOR/REALIZADOR,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00115775,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1486,AA-08-VSS-008VSS979-N-282-2024,NACIONAL,MANTECA DE CERDO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00108902,"008VSS979 - UNIDAD OPERATIVA DURANGO, ABASTO",DURANGO
1487,AA-51-GYN-051GYN061-N-71-2024,NACIONAL,SUBCONTRATACIÓN DE SERVICIOS CON TERCEROS,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00101860,"051GYN061 - DELEGACION ESTATAL HIDALGO, DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS",HIDALGO
1488,AA-51-GYN-051GYN056-N-80-2023,NACIONAL,SERVICIO DE NEONATOLOGIA PARA EL HOSPITAL GENERAL ISSSTE,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00124581,"051GYN056 - DELEGACION ESTATAL SAN LUIS POTOSI, SUBDELEGACION DE ADMINISTRACION",SAN LUIS POTOSÍ
1489,AA-50-GYR-050GYR075-N-170-2023,NACIONAL,GRUPO 511 MUEBLES DE OFICINA Y ESTANTERÍA,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00123707,050GYR075 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO DELEGACION QUERETARO,QUERÉTARO
1490,AA-08-VSS-008VSS984-N-838-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00124522,"008VSS984 - SUBGERENCIA REGIONAL NOROESTE, UNIDAD OPERATIVA CULIACÁN",BAJA CALIFORNIA
1491,AA-50-GYR-050GYR988-T-25-2023,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,SERVICIO MÉDICO INTEGRAL DE TAMIZ METABÓLICO NEONATAL AMPLIADO  2023-2025,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00120727,050GYR988 - DA-UADQ-CABCS-DSI,CIUDAD DE MÉXICO
1492,AA-50-GYR-050GYR010-N-168-2023,NACIONAL,AA-50-GYR-050GYR010-N-168-2023 ADQUISICIÓN DE MATERIAL DE CURACION,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00124262,050GYR010 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,DURANGO
1493,AA-08-VSS-008VSS008-N-852-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00101190,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
1494,AA-50-GYR-050GYR075-N-47-2025,NACIONAL,SERVICIO MÉDICO INTEGRAL PARA CENTROS DE EXCELENCIA OFTALMOLÓGICA (SMI PARA CEO),IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00015217,050GYR075 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO DELEGACION QUERETARO,QUERÉTARO
1495,AA-11-B00-011B00001-N-5791-2024,NACIONAL,ARTÍCULOS METÁLICOS PARA LA CONSTRUCCIÓN,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00097648,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,MÉXICO
1496,AA-20-141-020000008-N-26-2023,NACIONAL,SERVICIO INTEGRAL PARA EL PROCESO DE CAPTURA DE LA ESTRATEGIA DE BANCARIZACIÓN,BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00073588,"020000008 - DELEGACION PUEBLA, COORDINACION DE RECURSOS MATERIALES",PUEBLA
1497,AA-06-A00-006A00997-N-2923-2023,NACIONAL,04-23-1273  SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DEL AVALÚO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00072097,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
1498,AA-13-J4V-013J4V001-N-230-2023,NACIONAL,"INSTRUCTOR ACADÉMICO PARA FORMACIÓN, ACTUALIZACIÓN Y/O CAPACITACIÓN",FIDENA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00072185,013J4V001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1499,AA-08-VSS-008VSS983-N-423-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00085485,008VSS983 - DIRECCIÓN DE COMERCIALIZACIÓN,MÉXICO
1500,AO-89-L47-830124970-N-8-2023,NACIONAL,REHABILITACION DE ALUMBRADO PUBLICO EN CALLE ALFA Y OMEGA DE LA LOCALIDAD LA VIC,089L47,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2023-00086754,830124970 - DIRECCIÓN DE OBRAS PÚBLICAS,VERACRUZ
1501,AA-06-G1C-006G1C001-N-224-2025,NACIONAL,CONTRATACIÓN DE UN MEDIO DE COMUNICACIÓN PARA LA DIFUSIÓN DE LA CAMPAÑA,BANOBRAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00105330,006G1C001 - GERENCIA DE ADQUISICIONES,CIUDAD DE MÉXICO
1502,AA-09-JZL-009JZL002-N-202-2025,NACIONAL,CONTRATACIÓN DEL SERVICIO DE LA CAMPAÑA SERVICIOS ASA 2025 TODOS TUS VIAJES INIC,ASA,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00099996,009JZL002 - GERENCIA DE LICITACIONES,CIUDAD DE MÉXICO
1503,AA-11-B01-011B01001-N-59-2026,NACIONAL,ASISTENTE DE PRODUCCIÓN ONCE DIGITAL,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00107427,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1504,AA-08-VSS-008VSS983-N-163-2026,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2026-00034384,"008VSS983 - ALIMENTACIÓN PARA EL BIENESTAR-UNIDAD OPERATIVA ESTADO DE MÉXICO, ABASTO",MÉXICO
1505,AA-15-412-015000999-N-637-2024,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00023068,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1506,AA-48-L6U-048L6U001-N-50-2024,NACIONAL,SERVICIO DE SUMINISTRO Y CAMBIO DE ALFOMBRAS,CECUT,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00027895,048L6U001 - GERENCIA DE RECURSOS MATERIALES,BAJA CALIFORNIA
1507,AA-45-500-045000001-N-13-2024,NACIONAL,ADQUISICIÓN DE AGUA PURIFICADA EMBOTELLADA EN GARRAFONES DE 20 LITROS,CNE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00022500,018F00002 - UNIDAD DE ADMINISTRACION,CIUDAD DE MÉXICO
1508,AA-50-GYR-050GYR014-I-151-2024,INTERNACIONAL ABIERTO,AA-50-GYR-050GYR014-I-151-2024 ADQ. MAT. OSTEOSINTESIS Y ENDOPROTESIS,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00027864,050GYR014 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO,VERACRUZ
1509,AA-11-B00-011B00001-N-1996-2024,NACIONAL,PRESTACION DE SERVICIOS PROFESIONALES QUE REQUIERE LA ENCB,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00027974,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1510,AA-08-RJL-008RJL001-N-55-2024,NACIONAL,IMIPAS-DA-PATZ-AD-55-2024,IMIPAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00007080,008RJL001 - DIRECCIÓN GENERAL ADJUNTA DE ADMINISTRACIÓN - SUBDIRECCIÓN DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
1511,AA-20-128-020000011-N-3-2024,NACIONAL,ADQUISICION DE COMBUSTIBLE PARA VEHICULOS TERRESTRES,BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00007150,020000011 - DELEGACION CHIHUAHUA,CHIHUAHUA
1512,AA-15-412-015000999-N-304-2024,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00007813,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1513,AA-13-J3A-013J3A001-N-74-2024,NACIONAL,ENERGÍA ELÉCTRICA DEL MES DE DICIEMBRE DE 2023.,	ASIPONA-LÁZARO CÁRDENAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00010551,013J3A001 - LAZARO CARDENAS-GERENCIA DE ADMINISTRACION Y FINANZAS,MICHOACÁN DE OCAMPO
1514,AA-48-E00-048E00995-N-48-2024,NACIONAL,"PLANEACIÓN, LOGÍSTICA Y SEGUIMIENTO DE ACTIVIDADES ARTÍSTICAS",INBAL,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00007802,048E00995 - DIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
1515,AA-12-NCD-012NCD001-N-130-2023,NACIONAL,MATERIALES Y ACCESORIOS PARA SUMINISTRO DE LABORATORIO,INER,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00041037,012NCD001 - DEPARTAMENTO DE ADQUISICIONES,CIUDAD DE MÉXICO
1516,AA-08-VSS-008VSS996-N-96-2023,NACIONAL,SAL ENVAZADA,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00043102,008VSS996 - SUBGERENCIA DE U.O.TUXTLA ABASTO,CHIAPAS
1517,AA-50-GYR-050GYR041-N-188-2023,NACIONAL,SERVICIO DE ARRENDAMIENTO DE VEHICULOS,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00041611,"050GYR041 - DELEGACION TLAXCALA, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",TLAXCALA
1518,AO-87-J02-828016973-N-1-2023,NACIONAL,MANTENIMIENTO DE SEÑALETICA,087J02,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2023-00042143,828016973 - DIRECCIÓN DE OBRAS PÚBLICAS,TAMAULIPAS
1519,AA-11-B00-011B00001-N-2735-2023,NACIONAL,SERVICIOS PROFESIONALES EN CECYT 7 CUAUHTÉMOC,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00041044,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1520,AA-10-711-010000999-N-58-2025,NACIONAL,CONTRATACIÓN DE UN EXPERTO INDEPENDIENTE EN MATERIA DE VALUACIÓN DE DAÑOS ECONÓM,SE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00076466,010000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y ARCHIVO,CIUDAD DE MÉXICO
1521,AA-72-063-913087946-N-16-2024,NACIONAL,SERVICIOS DE CAPACITACIÓN - PROABIM,IHM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00107706,913087946 - DIRECCIÓN DE ADMINISTRACIÓN Y FINANZAS,HIDALGO
1522,AA-50-GYR-050GYR082-N-305-2024,NACIONAL,MANTENIMIENTO PREVENTIVO Y CORRECTIVO A DISPENSADORES DE ISODINE,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00107896,050GYR082 - HOSPITAL DE TRAUMATOLOGIA Y ORTOPEDIA NO. 21,NUEVO LEÓN
1523,AA-11-B01-011B01001-N-3241-2024,NACIONAL,DESARROLLADOR JR. A,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00102473,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1524,AA-51-GYN-051GYN017-N-86-2024,NACIONAL,SUMINISTRO DE GAS LP PARA LA CLÍNICA DE MEDICINA FAMILIAR DEL ISSSTE EN COZUMEL,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00107223,051GYN017 - DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS EN QUINTANA ROO,QUINTANA ROO
1525,AA-08-VSS-008VSS972-N-763-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00105450,008VSS972 - UNIDAD OPERATIVA ACAYUCAN,VERACRUZ
1526,AA-47-EZN-047EZN999-N-41-2024,NACIONAL,ESTADOS FINANCIEROS EJERCICIO 2024 ARCHIVO GENERAL DE LA NACIÓN,AGN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00105559,047EZN999 - DIRECCION DE ADMINISTRACION,CIUDAD DE MÉXICO
1527,AA-08-VSS-008VSS001-N-237-2023,NACIONAL,ATUN EN ACEITE Y AGUA,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00079470,008VSS001 - GERENCIA REGIONAL SURESTE,TABASCO
1528,AA-15-412-015000999-N-1425-2023,NACIONAL,PRESTADOR DE SERVICIOS,SEDATU,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00079396,015000999 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1529,AO-85-X11-926003986-N-15-2023,NACIONAL,CONTRATO MIXTO DE SERVICIOS RELACIONADOS CON LA OBRA PÚBLICA DE LA SCG.,SABGSON,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS RELACIONADOS CON LA OBRA,E-2023-00080177,926003986 - DIRECCIÓN GENERAL DE ADMINISTRACIÓN Y CONTROL PRESUPUESTAL,SONORA
1530,AA-51-GYN-051GYN061-N-40-2023,NACIONAL,MANTENIMIENTO Y CONSERVACIÓN PARA CÁMARAS Y EQUIPOS DE REFRIGERACIÓN,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00080350,"051GYN061 - DELEGACION ESTATAL HIDALGO, DEPARTAMENTO DE RECURSOS MATERIALES Y OBRAS",HIDALGO
1531,AA-09-KCZ-009KCZ002-N-58-2023,NACIONAL,SERVICIO INTEGRAL DE LOGÍSTICA PARA LLEVAR A CABO EL EVENTO DEL TERCER INFORME,FINABIEN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00079879,006KCZ002 - DIRECCIÓN DE ADMINISTRACIÓN,CIUDAD DE MÉXICO
1532,AA-50-GYR-050GYR001-N-274-2023,NACIONAL,"GRUPOS 010 Y 030, MEDICAMENTOS Y LÁCTEOS",IMSS,ADJUDICADO PARCIAL,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00080622,"050GYR001 - DEL. GUERRERO, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",GUERRERO
1533,AA-27-514-027000002-N-303-2023,NACIONAL,CINCO AL MILLAR DGRMSG DC-1353-2023 AL DC-1355-2023,SABG,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00079632,027000002 - DIRECCION GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1534,AO-48-D00-048D00004-N-38-2024,NACIONAL,"INTERVENCIÓN DEL SITIO ARQUEOLÓGICO DAINZÚ, OAXACA",INAH,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2024-00041822,048D00004 - COORDINACION NACIONAL DE OBRAS Y PROYECTOS,CIUDAD DE MÉXICO
1535,AA-11-B00-011B00001-N-3494-2024,NACIONAL,"ADQUISICIÓN DE MINERALES NO METÁLICOS EN EL CICATA, UNIDAD QUERÉTARO",IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00045505,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,QUERÉTARO
1536,AA-06-A00-006A00997-N-658-2024,NACIONAL,02-23-441   SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DEL AVALÚO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00053327,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
1537,AA-04-E2D-004E2D001-N-222-2024,NACIONAL,"LA IMPRESION, ACABADO Y EMPAQUE DE INSTRUCTIVOS",TGM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00047991,004E2D001 - GERENCIA DE ABASTECIMIENTOS,CIUDAD DE MÉXICO
1538,AA-11-B00-011B00001-N-3522-2024,NACIONAL,PRESTACION DE SERVICIOS PROFESIONALES INDEPENDIENTES DE LA DDC,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00045608,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1539,AA-08-VSS-008VSS012-N-136-2024,NACIONAL,CHOCOLATE EN POLVO SEGALMEX,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00048817,008VSS012 - COORDINACIÓN DE ADMINISTRACIÓN Y FINANZAS,TAMAULIPAS
1540,AA-13-312-013000999-N-840-2024,NACIONAL,NAC 13-0846/24  REQ 1497 ABAS4013OR/24 ARTÍCULOS METÁLICOS PARA LA CONSTRUCCIÓN,SEMAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00068834,013000999 - DIRECCION GENERAL ADJUNTA DE ADQUISICIONES,CIUDAD DE MÉXICO
1541,AA-13-J3A-013J3A001-N-210-2024,NACIONAL,SERVICIO DE DISEÑO E IMPRESION DE MATERIAL PARA LA PARTICIPACIÓN DE LA ASIPONA.,	ASIPONA-LÁZARO CÁRDENAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00069376,013J3A001 - LAZARO CARDENAS-GERENCIA DE ADMINISTRACION Y FINANZAS,MICHOACÁN DE OCAMPO
1542,AA-11-B01-011B01001-N-2387-2024,NACIONAL,DISEÑADOR(A) Y ANIMADOR(A) DE ONCE NIÑAS Y NIÑOS,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00070927,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1543,AO-72-017-913041994-N-52-2023,NACIONAL,"REHABILITACIÓN GENERAL DE AULAS Y REHABILITACIÓN GENERAL DE SANITARIOS, EN EL  P",INHIFE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2023-00036548,"913041994 - DIRECCIÓN DE PRESUPUESTOS, PROYECTOS Y COSTOS",HIDALGO
1544,AA-11-B00-011B00001-N-2584-2023,NACIONAL,PRESTACION DE SERVICIOS PROFESIONALES CENLEX SANTO TOMAS,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00038138,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1545,AA-08-RJL-008RJL001-N-52-2023,NACIONAL,COADYUVAR EN LA EVALUACIÓN BIOLÓGICA PESQUERA Y COLECTA DE DATOS DE DIFERENTES R,IMIPAS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00037287,008RJL001 - DIRECCIÓN GENERAL ADJUNTA DE ADMINISTRACIÓN - SUBDIRECCIÓN DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
1546,AA-08-VSS-008VSS990-N-212-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00037674,"008VSS990 - GERENCIA REGIONAL HIDALGO, SUBGERENCIA DE ABASTO",HIDALGO
1547,AA-08-VSS-008VSS990-N-224-2023,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00037907,"008VSS990 - GERENCIA REGIONAL HIDALGO, SUBGERENCIA DE ABASTO",HIDALGO
1548,AA-12-NCA-012NCA001-N-40-2024,NACIONAL,SERVICIO DE FOTOCOPIADO CON EQUIPOS EN COMODATO SIN INCLUIR PAPEL.,INCARD,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00029774,012NCA001 - SUBDIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
1549,AA-11-B00-011B00001-N-3041-2024,NACIONAL,PRESTACIÓN DE SERVICIOS PROFESIONALES,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00040709,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
1550,AA-12-NDY-012NDY001-N-159-2024,NACIONAL,SERVICIO DE DESARROLLO DE LAS ESTRATEGIAS DE MEJORA CONTINUA.,INSP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00039929,012NDY001 - DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,MORELOS
1551,AA-06-G2T-006G2T002-N-257-2024,NACIONAL,MANTENIMIENTO Y CONSERVACIÓN DE MAQUINARIA Y EQUIPO,CMM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00036647,006G2T002 - DIRECCIÓN CORPORATIVA DE ADMINSITRACIÓN,SAN LUIS POTOSÍ
1552,AA-27-830-027000002-N-477-2026,NACIONAL,"SERVICIOS DE INSPECCIÓN, CONTROL Y VIGILANCIA DGAG",SABG,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2026-00027692,027000002 - DIRECCIÓN GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES,CIUDAD DE MÉXICO
1553,AA-48-VZG-048VZG999-N-59-2026,NACIONAL,CANEK FERNANDO SHULTZ TYLER,FONART,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2026-00032991,048VZG999 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
1554,AA-06-HJO-006HJO001-N-13-2026,NACIONAL,SERVICIO DE AUDITORÍA EXTERNA FIDEICOMISO 10046,BANCODELBIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2026-00026266,006HJO001 - DIRECCIÓN DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
1555,AA-47-AYL-006AYL998-N-409-2024,NACIONAL,"SERVICIO PROFESIONAL DE CREACIÓN, INVESTIGACIÓN Y PROYECCIÓN DE SOLUCIONES EN",SPR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00029735,006AYL998 - UNIDAD DE ADMINISTRACIÓN Y FINANZAS,CIUDAD DE MÉXICO
1556,AA-80-V22-921044966-N-3-2024,NACIONAL,SSEP-DSG-ADJ-034-2024,SSEP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00027418,"921044966 - DIRECCIÓN DE OPERACIÓN DE OBRA, BIENES, SERVICIOS GENERALES Y PROCESOS DE GESTIÓN",PUEBLA
1557,AA-51-GYN-051GYN015-N-22-2024,NACIONAL,ACTIVIDADES EDUCATIVAS Y RECREATIVAS,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00024409,051GYN015 - DEPARTAMENRO DE ADQUISICIONES,CIUDAD DE MÉXICO
1558,AA-08-VSS-008VSS998-N-286-2024,NACIONAL,MAIZ BLANCO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00029148,008VSS998 - DIRECCIÓN COMERCIAL,CIUDAD DE MÉXICO
1559,AA-11-L4J-011L4J998-N-53-2023,NACIONAL,SERVICIO DE MANTENIMIENTO A ESPECTROFOTOMETRO DE MASAS XEVO TQD.,CINVESTAV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00046571,011L4J998 - DEPARTAMENTO DE ADQUISICIONES EN IRAPUATO,GUANAJUATO
1560,AA-47-AYB-047AYB001-N-76-2023,NACIONAL,CAMPAÑA DE COMUNICACIÓN SOCIAL 2023,INPI,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00047405,047AYB001 - DIRECCION DE ADQUISICIONES Y OBRA PUBLICA,CIUDAD DE MÉXICO
1561,AA-09-KCZ-009KCZ002-N-70-2024,NACIONAL,SERVICIO DE AUDITORÍA EXTERNA PARA DICTAMINAR LOS ESTADOS FINANCIEROS,FINABIEN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00051366,006KCZ002 - DIRECCIÓN DE ADMINISTRACIÓN,CIUDAD DE MÉXICO
1562,AA-08-VSS-008VSS976-N-498-2025,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00103429,"008VSS976 - UNIDAD OPERATIVA MIXTECA, ABASTO",OAXACA
1563,AA-08-VSS-008VSS980-N-192-2025,NACIONAL,PRODUCTOS DIVERSOS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00103497,008VSS980 - UNIDAD OPERATIVA GUERRERO - ABASTO,GUERRERO
