NÚM.,NÚMERO DE IDENTIFICACIÓN,CARÁCTER,NOMBRE,SIGLAS DEPENDENCIA O ENTIDAD,ESTATUS,FECHA JUNTA DE ACLARACIONES,FECHA DE PRESENTACIÓN Y APERTURA DE PROPOSICIONES,TIPO DE PUBLICACIÓN,TIPO DE CONTRATACIÓN,CÓDIGO DE EXPEDIENTE,UNIDAD COMPRADORA,ENTIDAD FEDERATIVA
311,AA-12-M7F-012M7F002-N-136-2025,NACIONAL,PRESTACIÓN DE SERVICIOS PROFESIONALES EN LA DIEP,INPSIQ,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00059538,012M7F002 - SUBDIRECCION DE SERVICIOS GENERALES,CIUDAD DE MÉXICO
312,AA-20-142-020000012-N-24-2025,NACIONAL,MIGUEL ANGEL SÁNCHEZ VARGAS,BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ARRENDAMIENTOS,E-2025-00061446,020000012 - DELEGACION QUERETARO,QUERÉTARO
313,AA-06-A00-006A00997-N-1834-2025,NACIONAL,03-24-1080   SERVICIOS PROFESIONALES PARA LA ELABORACION DEL AVALUO,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00053801,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
314,AA-12-NDY-012NDY001-N-690-2025,NACIONAL,REALIZAR LAS RUTAS DE TRABAJO Y ORGANIZAR LA LOGÍSTICA DEL TRABAJO DE CAMPO,INSP,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00066228,012NDY001 - DEPARTAMENTO DE SERVICIOS GENERALES Y MANTENIMIENTO,MORELOS
315,AA-38-9ZU-0389ZU001-N-42-2025,NACIONAL,TAMBO DE SOLUBLE VASCO,CIDESI,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00068869,0389ZU001 - SUBDIRECCION DE RECURSOS MTERIALES Y SERVICIOS GENERALES,QUERÉTARO
316,AO-87-I72-828002995-N-10-2024,NACIONAL,REHABILITACION EN TRAMOS AISLADOS DE CAMINO AL POB. SANTA JULIA,087I72,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2025-00069339,828002995 - DIRECCION DE OBRAS PUBLICAS,TAMAULIPAS
317,AA-51-GYN-051GYN055-N-51-2025,NACIONAL,MANTENIMIENTO Y CONSERVACIÓN DE PARA MAQUINARIA Y EQUIPO,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00066967,"051GYN055 - DELEGACION ESTATAL COLIMA, SUBDELEGACION DE ADMINISTRACION",COLIMA
318,AA-50-GYR-050GYR060-N-163-2025,NACIONAL,SERVICIO MEDICO SUBROGADO DE APLICACION DE YODO 131,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00065555,"050GYR060 - UMAE HOSPITAL DE PEDIATRIA DEL CMNO, DEPARTAMENTO DE ABASTECIMIENTO Y EQUIPAMIENTO",JALISCO
319,AA-12-NBG-012NBG003-I-471-2025,INTERNACIONAL ABIERTO,RM-AF-0809/25,HIM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00069429,012NBG003 - SUBDIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
320,AA-08-VSS-008VSS983-N-207-2025,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00093983,008VSS983 - DIRECCIÓN DE COMERCIALIZACIÓN,MÉXICO
321,AA-48-E00-048E00995-N-1225-2025,NACIONAL,ADQUISICIÓN Y SUMINISTRO DE PINTURAS BASE AGUA Y BASE ACEITE,INBAL,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00094197,048E00995 - DIRECCION DE RECURSOS MATERIALES,CIUDAD DE MÉXICO
322,AA-08-VSS-008VSS983-N-370-2025,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00100748,008VSS983 - DIRECCIÓN DE COMERCIALIZACIÓN,MÉXICO
323,AA-08-VSS-008VSS981-N-279-2025,NACIONAL,ATUN EL DORADO,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00100228,008VSS981 - DICONSA UNIDAD OPERATIVA MICHOCAN - ABASTO,MICHOACÁN DE OCAMPO
324,AA-50-GYR-050GYR998-T-629-2025,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,ABTA25ES10190184 C.A.P.,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00091610,"050GYR998 - UMAE, HOSPITAL DE ESPECIALIDADES, C.M.N. SIGLO XXI",CIUDAD DE MÉXICO
325,AA-08-VSS-008VSS967-N-358-2025,NACIONAL,SUAVIZANTE ENSUEÑO VARIOS AROMAS,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2025-00100926,008VSS967 - UNIDAD OPERATIVA QUINTANA ROO-ABASTO,QUINTANA ROO
326,AA-50-GYR-050GYR998-T-821-2025,INTERNACIONAL BAJO LA COBERTURA DE TRATADOS,ABTA25ES10190683 B.C.M.,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2025-00100269,"050GYR998 - UMAE, HOSPITAL DE ESPECIALIDADES, C.M.N. SIGLO XXI",CIUDAD DE MÉXICO
327,AA-08-VSS-008VSS008-N-73-2026,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2026-00008403,008VSS008 - SUBGERENCIA OPERACIONES REGIONAL NORTE CENTRO,CHIHUAHUA
328,AA-06-G2T-006G2T002-N-343-2025,NACIONAL,DIFUSIÓN DE MENSAJES COMERCIALES PARA PROMOVER LA VENTA DE PRODUCTOS O SERVICIOS,CMM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2026-00011312,006G2T002 - DIRECCIÓN CORPORATIVA DE ADMINISTRACIÓN Y FINANZAS,SAN LUIS POTOSÍ
329,AA-09-J4Q-009J4Q999-N-8-2023,NACIONAL,SERVICIO DE IMPARTICIÓN DE 8 CURSOS PARA LA CAPACITACIÓN DEL PERSONAL,PROMTEL,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00050625,009J4Q999 - ORGANISMO PROMOTOR DE INVERSIONES EN TELECOMUNICACIONES,CIUDAD DE MÉXICO
330,AA-11-L6W-011L6W001-N-76-2023,NACIONAL,SERVICIO DE MANTENIMIENTO VEHICULAR COT GUANAJUATO 2023,CONAFE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00049663,"011L6W001 - DIRECCION DE ADMINISTRACION Y FINANZAS, SUBDIRECCION DE RECURSOS MATERIALES",GUANAJUATO
331,AA-12-NBD-012NBD001-N-239-2023,NACIONAL,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA DIFUSORAS DE CALOR,HGM,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00049307,012NBD001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
332,AA-16-RHQ-016RHQ001-N-632-2023,NACIONAL,PROVEEDOR DE SERVICIOS PROFESIONALES,CONAFOR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00050803,"016RHQ001 - GERENCIA DE RECURSOS MATERIALES, UNIDAD DE ADMINISTRACION Y FINANZAS",JALISCO
333,AA-12-NDF-012NDF999-N-402-2023,NACIONAL,SALUD/INRLGII/59/2023,INR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00038333,012NDF999 - SUBDIRECCION DE COMPRAS Y SUMINISTROS,CIUDAD DE MÉXICO
334,AA-06-A00-006A00997-N-857-2023,NACIONAL,04-22-604 SERVICIOS PROFESIONALES PARA LA ELABORACIÓN DE AVALÚOS,INDAABIN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2023-00039361,006A00997 - DIRECCIÓN GENERAL DE AVALÚOS Y OBRAS,CIUDAD DE MÉXICO
335,AA-50-GYR-050GYR028-I-74-2023,INTERNACIONAL ABIERTO,MEDICAMENTOS,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2023-00038036,050GYR028 - COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO DELEGACION REGIONAL ESTADO DE MEXICO ORIENTE,MÉXICO
336,AA-08-VSS-008VSS979-N-182-2024,NACIONAL,MANTECA VEGETAL,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00099414,"008VSS979 - UNIDAD OPERATIVA DURANGO, ABASTO",DURANGO
337,AA-08-VSS-008VSS976-N-496-2024,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00100006,"008VSS976 - UNIDAD OPERATIVA MIXTECA, ABASTO",OAXACA
338,AO-48-D00-048D00004-N-113-2024,NACIONAL,"INTERVENCION DEL INMUEBLE SAN JUAN BAUTISTA, OAXACA",INAH,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,OBRA PÚBLICA,E-2024-00093736,048D00004 - COORDINACION NACIONAL DE OBRAS Y PROYECTOS,CIUDAD DE MÉXICO
339,AA-08-VSS-008VSS013-N-665-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00101374,008VSS013 - GERENCIA REGIONAL OAXACA,OAXACA
340,AA-85-X28-926016949-N-37-2024,NACIONAL,PRESTACIÓN DE SERVICIOS,SEMUJERES,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00102791,926016949 - COORDINACION EJECUTIVA,SONORA
341,AA-08-VSS-008VSS991-N-533-2024,NACIONAL,HARINA DE MAIZ,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00099922,"008VSS991 - UNIDAD OPERATIVA SAN LUIS POTOSÍ, SUBGERENCIA DE LA UNIDAD OPERATIVA",SAN LUIS POTOSÍ
342,AA-11-B01-011B01001-N-2965-2024,NACIONAL,PRODUCTOR DE CAMPO,ONCETV,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00102595,011B01001 - DIRECCION DE ADMINISTRACION Y FINANZAS,CIUDAD DE MÉXICO
343,AA-11-B00-011B00001-N-3100-2024,NACIONAL,PRESTACION DE SERVICIOS PROFESIONALES ESIQIE-PSP-421-2024,IPN,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00041051,011B00001 - DIRECCION DE RECURSOS MATERIALES E INFRAESTRUCTURA,CIUDAD DE MÉXICO
344,AA-51-GYN-051GYN048-N-39-2024,NACIONAL,INSTRUCTOR DE ARTESANIAS,ISSSTE,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00030781,"051GYN048 - REPRESENTACION ESTATAL NAYARIT, SUBDELEGACION DE ADMINISTRACION",NAYARIT
345,AA-20-124-020000027-N-13-2024,NACIONAL,MATERIAL DE LIMPIEZA,BIENESTAR,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00041128,"020000027 - SUBDELEGACION DE ADMINISTRACION, DELEGACION CAMPECHE",CAMPECHE
346,AA-08-VSS-008VSS977-N-443-2024,NACIONAL,ABARROTES NO COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00101162,"008VSS977 - UNIDAD OPERATIVA NAYARIT, ABASTO",NAYARIT
347,AA-63-ZA1-904072973-N-31-2024,NACIONAL,SERVICIO DE HOSPEDAJE Y ALIMENTOS (CENA 14 DE OCTUBRE Y DESAYUNO 15 DE OCTUBRE),CECYTEC,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,SERVICIOS,E-2024-00104057,904072973 - DIRECCION DE PLANEACION,CAMPECHE
348,AA-50-GYR-050GYR041-N-196-2024,NACIONAL,ADQUISICIÓN DE MEDICAMENTOS,IMSS,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00083819,"050GYR041 - DELEGACION TLAXCALA, COORDINACION DE ABASTECIMIENTO Y EQUIPAMIENTO",TLAXCALA
349,AA-08-VSS-008VSS995-N-380-2024,NACIONAL,ABARROTES COMESTIBLES,APB,ADJUDICADO,,,ADJUDICACIÓN DIRECTA,ADQUISICIONES,E-2024-00099320,"008VSS995 - UNIDAD OPERATIVA QUERETARO, ABASTO",QUERÉTARO
